"quarter","total","total percent","unemp","unemp percent"
"Q1","9.190,7","4.774,0","51,9","1.114,7","23,3","4.416,7"
"Q2","9.181,4","4.808,0","52,4","1.016,6","21,1","4.373,4"
"Q3","9.172,3","4.793,8","52,3","970,1","20,2","4.378,5"
"Q4","9.163,3","4.743,2","51,8","1.006,8","21,2","4.420,2"
